Date,Month,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
29/02/2020,February,1,0,0,1,0,0,0,0.0,0.0,0.0
01/03/2020,March,1,0,0,1,0,0,0,0.0,0.0,0.0
02/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
03/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
04/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
05/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
06/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
07/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
08/03/2020,,1,0,0,1,0,0,0,0.0,0.0,0.0
09/03/2020,,2,0,0,2,1,0,0,0.0,0.0,0.0
10/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
11/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
12/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
13/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
14/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
15/03/2020,,2,0,0,2,0,0,0,0.0,0.0,0.0
16/03/2020,,3,0,0,3,1,0,0,0.0,0.0,0.0
17/03/2020,,3,0,1,2,0,0,1,0.0,33.3,0.0
18/03/2020,,8,0,1,7,5,0,0,0.0,12.5,0.0
19/03/2020,,12,0,1,11,4,0,0,0.0,8.3,0.0
21/03/2020,,25,0,2,23,13,0,1,0.0,8.0,0.0
22/03/2020,,30,0,2,28,5,0,0,0.0,6.7,0.0
23/03/2020,,36,1,2,33,6,1,0,2.8,5.6,2.8
24/03/2020,,44,1,2,41,8,0,0,2.3,4.5,2.3
25/03/2020,,51,1,2,48,7,0,0,2.0,3.9,2.0
26/03/2020,,65,1,3,61,14,0,1,1.5,4.6,1.5
28/03/2020,,97,1,3,93,32,0,0,1.0,3.1,1.0
29/03/2020,,111,1,3,107,14,0,0,0.9,2.7,0.9
30/03/2020,,131,2,8,121,20,1,5,1.5,6.1,1.5
31/03/2020,,139,2,9,128,8,0,1,1.4,6.5,1.4
01/04/2020,April,174,2,9,163,35,0,0,1.1,5.2,1.1
02/04/2020,,184,2,20,162,10,0,11,1.1,10.9,1.1
03/04/2020,,210,4,25,181,26,2,5,1.9,11.9,1.9
04/04/2020,,214,4,25,185,4,0,0,1.9,11.7,1.9
05/04/2020,,232,5,33,194,18,1,8,2.2,14.2,2.2
06/04/2020,,238,5,35,198,6,0,2,2.1,14.7,2.1
07/04/2020,,254,6,44,204,16,1,9,2.4,17.3,2.4
08/04/2020,,276,6,44,226,22,0,0,2.2,15.9,2.2
09/04/2020,,288,7,51,230,12,1,7,2.4,17.7,2.4
